"","ag.artist_name","ag.artist_id","ag.album_type","ag.album_release_date","ag.album_release_year","ag.album_release_date_precision","ag.danceability","ag.energy","ag.energy.1","ag.key","ag.loudness","ag.mode","ag.speechiness","ag.acousticness","ag.instrumentalness","ag.liveness","ag.liveness.1","ag.valence","ag.tempo","ag.track_id","ag.duration_ms","ag.explicit","ag.is_local","ag.track_name","ag.track_number","ag.type","ag.album_name","ag.key_name","ag.mode_name","ag.key_mode"
"48","Katy Perry","6jJ0s89eD6GaHleKKya26X","album","2023-06-20",2023,"day",0.539,0.567,0.567,5,-5.387,1,0.0253,0.292,1.21e-06,0.163,0.163,0.154,89.943,"3YHr20DraO9onR5iadROdA",255986,FALSE,FALSE,"Lost",9,"track","One Of The Boys (15th Anniversary Edition)","F","major","F major"
"49","Katy Perry","6jJ0s89eD6GaHleKKya26X","album","2023-06-20",2023,"day",0.562,0.924,0.924,7,-3.059,1,0.0524,0.000366,0,0.0717,0.0717,0.492,128.318,"3jIVingRpdEMBPWX0dr4tY",205720,FALSE,FALSE,"Self Inflicted",10,"track","One Of The Boys (15th Anniversary Edition)","G","major","G major"
"50","Katy Perry","6jJ0s89eD6GaHleKKya26X","album","2023-06-20",2023,"day",0.462,0.689,0.689,5,-5.413,1,0.09,0.0791,1e-06,0.114,0.114,0.711,179.964,"7wMPIOO8yxtjCp2S9cPpos",228693,FALSE,FALSE,"I'm Still Breathing",11,"track","One Of The Boys (15th Anniversary Edition)","F","major","F major"
"51","Katy Perry","6jJ0s89eD6GaHleKKya26X","album","2023-06-20",2023,"day",0.545,0.897,0.897,2,-2.888,1,0.06,0.00199,0,0.179,0.179,0.577,149.977,"4iinyMWT3lxJNeqx44apHm",224840,FALSE,FALSE,"Fingerprints",12,"track","One Of The Boys (15th Anniversary Edition)","D","major","D major"
"52","Katy Perry","6jJ0s89eD6GaHleKKya26X","album","2023-06-20",2023,"day",0.632,0.917,0.917,11,-4.026,0,0.041,0.00165,0,0.0704,0.0704,0.579,114.985,"4036mSGS7NnpDnn2Cq3c5l",256539,FALSE,FALSE,"A Cup Of Coffee - Remixed / Remastered 2023",13,"track","One Of The Boys (15th Anniversary Edition)","B","minor","B minor"
"53","Katy Perry","6jJ0s89eD6GaHleKKya26X","album","2023-06-20",2023,"day",0.711,0.373,0.373,0,-5.459,1,0.0289,0.227,0,0.118,0.118,0.29,110.061,"6mHWixfm40ovj9hWesDU9h",156440,FALSE,FALSE,"I Think I'm Ready - Remixed / Remastered 2023",14,"track","One Of The Boys (15th Anniversary Edition)","C","major","C major"
"54","Katy Perry","6jJ0s89eD6GaHleKKya26X","album","2020-08-28",2020,"day",0.77,0.881,0.881,8,-4.776,1,0.067,0.217,0,0.324,0.324,0.367,99.995,"1IIV8jglA0klVZy17q665k",223297,FALSE,FALSE,"Never Really Over",1,"track","Smile","G#","major","G# major"
"55","Katy Perry","6jJ0s89eD6GaHleKKya26X","album","2020-08-28",2020,"day",0.699,0.669,0.669,2,-5.829,0,0.0712,0.0794,1.71e-05,0.248,0.248,0.444,125.994,"7cLrrJ1Dk6WAQyDIj9j26A",189772,FALSE,FALSE,"Cry About It Later",2,"track","Smile","D","minor","D minor"
"56","Katy Perry","6jJ0s89eD6GaHleKKya26X","album","2020-08-28",2020,"day",0.616,0.659,0.659,7,-5.994,1,0.0404,0.104,0,0.079,0.079,0.441,125.962,"3i0uu4DEpcmEAudChpVDBh",182595,FALSE,FALSE,"Teary Eyes",3,"track","Smile","G","major","G major"
"57","Katy Perry","6jJ0s89eD6GaHleKKya26X","album","2020-08-28",2020,"day",0.642,0.546,0.546,1,-5.377,1,0.0407,0.0825,0,0.0989,0.0989,0.142,122.165,"367wyLNqQMr5e8S2E6Zvpp",174312,FALSE,FALSE,"Daisies",4,"track","Smile","C#","major","C# major"
"58","Katy Perry","6jJ0s89eD6GaHleKKya26X","album","2020-08-28",2020,"day",0.7,0.519,0.519,0,-7.091,1,0.0576,0.317,0,0.159,0.159,0.65,135.871,"3By64Pmpn0LkwPKSjqSTBp",187821,FALSE,FALSE,"Resilient",5,"track","Smile","C","major","C major"
"59","Katy Perry","6jJ0s89eD6GaHleKKya26X","album","2020-08-28",2020,"day",0.508,0.738,0.738,2,-5.126,0,0.0579,0.119,0,0.0558,0.0558,0.523,158.131,"2F20djOXWDSFEXu3tPdV71",178641,FALSE,FALSE,"Not the End of the World",6,"track","Smile","D","minor","D minor"
"60","Katy Perry","6jJ0s89eD6GaHleKKya26X","album","2020-08-28",2020,"day",0.783,0.912,0.912,0,-3.713,1,0.243,0.0238,0,0.339,0.339,0.749,98.025,"59s3aMqR9uOzLIXAcgBCEm",166898,FALSE,FALSE,"Smile",7,"track","Smile","C","major","C major"
"61","Katy Perry","6jJ0s89eD6GaHleKKya26X","album","2020-08-28",2020,"day",0.711,0.674,0.674,10,-6.114,1,0.106,0.0185,0,0.184,0.184,0.774,108.883,"5iKXqTVr88ghRPwMEeVKVM",196218,FALSE,FALSE,"Champagne Problems",8,"track","Smile","A#","major","A# major"
"62","Katy Perry","6jJ0s89eD6GaHleKKya26X","album","2020-08-28",2020,"day",0.775,0.68,0.68,7,-5.155,1,0.038,0.00544,0,0.047,0.047,0.929,123.005,"5ahNnBifspeXOi1sMbiXHT",187436,FALSE,FALSE,"Tucked",9,"track","Smile","G","major","G major"
